guid,Country,Country:sv,Country info,Country info:sv,Capital,Capital:sv,Capital info,Capital info:sv,Capital hint,Capital hint:sv,Flag,Flag similarity,Flag similarity:sv,Map,tags
"r]V9W,sj5i",Guadeloupe,Guadeloupe,Overseas department of France., , , ,,,,,,,,"<img src=""ug-map-guadeloupe.png"" />",UG::Caribbean UG::North_America
>e=4!;^#_,The Bahamas,Bahamas, , ,Nassau,Nassau,,,,,"<img src=""ug-flag-the_bahamas.svg"" />",,,"<img src=""ug-map-the_bahamas.png"" />",UG::Caribbean UG::North_America UG::Sovereign_State
cIMc3Nzy>W,Barbados,Barbados, , ,Bridgetown,Bridgetown,,,,,"<img src=""ug-flag-barbados.svg"" />",,,"<img src=""ug-map-barbados.png"" />",UG::Caribbean UG::North_America UG::Sovereign_State
rOVL2(d0m^,Belize,Belize, , ,Belmopan,Belmopan,,,,,"<img src=""ug-flag-belize.png"" />",,,"<img src=""ug-map-belize.png"" />",UG::North_America UG::Sovereign_State
"s,m:kRL/53",Costa Rica,Costa Rica, , ,San José,San José,,,,,"<img src=""ug-flag-costa_rica.png"" />",,,"<img src=""ug-map-costa_rica.png"" />",UG::North_America UG::Sovereign_State
il{B6F&ui9,El Salvador,El Salvador, , ,San Salvador,San Salvador,,,,,"<img src=""ug-flag-el_salvador-blur.png"" /><img src=""ug-flag-el_salvador.png"" />","Nicaragua (different coat of arms, slightly lighter blue)",,"<img src=""ug-map-el_salvador.png"" />",UG::North_America UG::Sovereign_State
b^_Av:%|%E,Guatemala,Guatemala, , ,Guatemala City,Guatemala City,,,,,"<img src=""ug-flag-guatemala.png"" />",,,"<img src=""ug-map-guatemala.png"" />",UG::North_America UG::Sovereign_State
rGPlNG/dw%,Honduras,Honduras, , ,Tegucigalpa,Tegucigalpa,,,,,"<img src=""ug-flag-honduras.svg"" />",,,"<img src=""ug-map-honduras.png"" />",UG::North_America UG::Sovereign_State
oz4yuR}6W$,Nicaragua,Nicaragua, , ,Managua,Managua,,,,,"<img src=""ug-flag-nicaragua-blur.svg"" /><img src=""ug-flag-nicaragua.svg"" />","El Salvador (different coat of arms, slightly darker blue)",,"<img src=""ug-map-nicaragua.png"" />",UG::North_America UG::Sovereign_State
t1/=+}2*3>,Panama,Panama, , ,Panama City,Panama City,,,,,"<img src=""ug-flag-panama.svg"" />",,,"<img src=""ug-map-panama.png"" />",UG::North_America UG::Sovereign_State
kb%EK<T(Tt,Antigua and Barbuda,Antigua och Barbuda, , ,St. John's,Saint John's,,,,,"<img src=""ug-flag-antigua_and_barbuda.svg"" />",,,"<img src=""ug-map-antigua_and_barbuda.png"" />",UG::Caribbean UG::North_America UG::Sovereign_State
iK~qWOheLq,Dominica,Dominica, , ,Roseau,Roseau,,,,,"<img src=""ug-flag-dominica.svg"" />",,,"<img src=""ug-map-dominica.png"" />",UG::Caribbean UG::North_America UG::Sovereign_State
tMrR6sO|1I,Saint Vincent and the Grenadines,Saint Vincent och Grenadinerna, , ,Kingstown,Kingstown,,,,,"<img src=""ug-flag-saint_vincent_and_the_grenadines.svg"" />",,,"<img src=""ug-map-saint_vincent_and_the_grenadines.png"" />",UG::Caribbean UG::North_America UG::Sovereign_State
asajU<(4|R,Somalia,Somalia, , ,Mogadishu,Mogadishu,,,,,"<img src=""ug-flag-somalia.svg"" />",,,"<img src=""ug-map-somalia.png"" />",UG::Africa UG::East_Africa UG::Sovereign_State
e1zOyx7^cj,Zanzibar,Zanzibar,Semi-autonomous region of Tanzania., , , ,,,,,,,,"<img src=""ug-map-zanzibar.png"" />",UG::Africa
e9ss7Fgu&7,Ghana,Ghana, , ,Accra,Accra,,,,,"<img src=""ug-flag-ghana.svg"" />",Bolivia (coat of arms instead of star),,"<img src=""ug-map-ghana.png"" />",UG::Africa UG::Sovereign_State UG::West_Africa
pEm(WFjeNI,Guinea,Guinea, , ,Conakry,Conakry,,Även Konakry,,,"<img src=""ug-flag-guinea.svg"" />","Mali (red and green flipped, slightly brighter green)",,"<img src=""ug-map-guinea.png"" />",UG::Africa UG::Sovereign_State UG::West_Africa
i|{O!q|&(,New Zealand,Nya Zeeland, , ,Wellington,Wellington,,,,,"<img src=""ug-flag-new_zealand.svg"" />","Australia (white stars, two more stars)",,"<img src=""ug-map-new_zealand.png"" />",UG::Oceania UG::Sovereign_State
